# Rime user dictionary
#@/db_name	moran
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	2765
#@/user_id	rime-huan
ia;md xp;yx 	查詢	c=18 d=2.91165 t=1964
ia;yg bu;ad do;xx 	差不多	c=2 d=1.02317 t=1750
ia;yg ju;zj 	差距	c=1 d=1 t=1929
id;dc jm;zy 	創建	c=2 d=1.00497 t=2449
id;dc jm;zy bc;fy 	創建表	c=0 d=0.1 t=2380
if;dj jn;dy ui;gy 	沉浸式	c=2 d=1.99005 t=1926
ig;gg 	成	c=1 d=1 t=1162
ig;gg gs;lg go;zg 	成功過	c=1 d=1 t=493
ig;hi xu;gy 	程序	c=1 d=1 t=534
ig;hi xu;gy my;xk 	程序名	c=1 d=1 t=469
ih;jk ld;ol 	常量	c=2 d=1.46533 t=1612
ih;jk vu;mv 	常駐	c=1 d=1 t=2755
ih;xv ui;yu 	嘗試	c=1 d=1 t=2137
ir;rv 	傳	c=2 d=1.00016 t=2015
is;pa qi;kw 	重啓	c=1 d=1 t=1817
is;pa qi;kw xw;ab 	重啓下	c=1 d=1 t=2747
iu;aa 	出	c=1 d=1 t=394
iu;ey le;aa 	除了	c=1 d=1 t=468
iu;hi li;wl 	處理	c=15 d=1.64196 t=2647
ja 	加	c=9 d=2.65852 t=2700
ja bj;pf 	加版	c=1 d=1 t=1058
ja ge;rg 	加個	c=1 d=1 t=2718
ja le;aa 	加了	c=2 d=1.26316 t=1187
ja mi;dd 	加米	c=1 d=1 t=908
ja zl;ta bu;ad iu;aa ll;ad 	加在不出來	c=1 d=1 t=710
ji;yj de;xc 	記得	c=1 d=1 t=1088
jm;mq ia;md 	檢查	c=1 d=1 t=2428
jm;mq so;sb 	檢索	c=1 d=1 t=913
jm;vj yi;ow 	簡易	c=1 d=1 t=1148
jm;zy bc;fy 	建表	c=1 d=1 t=1904
jm;zy yi;yy 	建議	c=0 d=0.1 t=1146
jm;zy yi;yy ia;md xp;yx 	建議查詢	c=1 d=1 t=1147
jn;ra tm;ad 	今天	c=2 d=1.99005 t=2388
jn;zv qu;ts 	進去	c=1 d=1 t=13
jn;zv xy;xi vs;aa 	進行中	c=1 d=1 t=745
jo;yd 	幾	c=1 d=1 t=1766
jq;yj 	就	c=26 d=2.2677 t=2738
